[2023-05-01T01:21:11.347408-03:00] mvc-app.INFO: Petición a: GET /especialidades-profesionales [] []
[2023-05-01T01:21:11.348750-03:00] mvc-app.INFO: Status Code:200 - /especialidades-profesionales [] []
[2023-05-01T01:26:41.991383-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:26:41.995386-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:27:10.190611-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:27:10.191143-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:30:00.801737-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:30:00.802867-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:30:11.666742-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:30:11.667220-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:30:13.947536-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:30:13.948266-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:30:20.513823-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:30:20.514501-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:30:59.748617-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:30:59.749045-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:31:07.363576-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:31:07.364036-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:31:19.420654-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:31:19.422743-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:31:22.179745-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:31:22.180756-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:31:26.043834-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:31:26.044286-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:31:50.628195-03:00] mvc-app.INFO: Petición a: GET /consultarturno [] []
[2023-05-01T01:31:50.628978-03:00] mvc-app.INFO: Status Code:200 - /consultarturno [] []
[2023-05-01T01:31:53.770045-03:00] mvc-app.INFO: Petición a: GET / [] []
[2023-05-01T01:31:53.771811-03:00] mvc-app.INFO: Status Code:200 - / [] []
[2023-05-01T01:32:09.490011-03:00] mvc-app.INFO: Petición a: GET / [] []
